"index","frequency.bin","local","effect.size","n.sig"
"AA","0.3-12","CN3",0.126879023483088,4
"ADI","0.3-12","CN3",0.0207415335997697,2
"BGN","12-22.1","CN3",0.0169219992744879,1
"AA","12-22.1","CN3",0.0196750503084539,2
"ADI","12-22.1","CN3",NA,NA
"BGN","Total","CN4",0.0775155009458853,2
"AA","Total","CN4",0.217570970532516,6
"ADI","Total","CN4",0.25133035396486,5
"BGN","0.3-4","CN4",-0.00360076015229889,0
"AA","0.3-4","CN4",0.0556644160245329,2
"ADI","0.3-4","CN4",0.00408154238454522,0
"BGN","4-12","CN4",0.196011042689706,5
"AA","4-12","CN4",0.278387189761238,5
"ADI","4-12","CN4",0.0218487072146984,3
"BGN","0.3-12","CN4",0.105012006833243,4
"AA","0.3-12","CN4",0.215708986500804,6
"ADI","0.3-12","CN4",0.254940306700699,5
"BGN","12-22.1","CN4",0.0802855776730721,4
"AA","12-22.1","CN4",0.131501954966383,4
"ADI","12-22.1","CN4",NA,NA
"BGN","Total","CN5",0.0318130097681718,2
"AA","Total","CN5",0.181115958176248,5
"ADI","Total","CN5",0.11339821412383,5
"BGN","0.3-4","CN5",0.00834007469346631,0
"AA","0.3-4","CN5",0.026192657752664,1
"ADI","0.3-4","CN5",-0.00545252823621678,0
"BGN","4-12","CN5",0.0817156708173596,2
"AA","4-12","CN5",0.24513907095177,5
"ADI","4-12","CN5",0.0583553678801454,4
"BGN","0.3-12","CN5",0.0277567689197856,2
"AA","0.3-12","CN5",0.20614812110639,5
"ADI","0.3-12","CN5",0.105259346522373,4
"BGN","12-22.1","CN5",0.120323325996222,4
"AA","12-22.1","CN5",0.129601074983274,4
"ADI","12-22.1","CN5",NA,NA
"BGN","Total","CN6",0.0183241089610563,1
"AA","Total","CN6",0.141072635560398,5
"ADI","Total","CN6",0.031298019964894,3
"BGN","0.3-4","CN6",0.00524509519355684,0
"AA","0.3-4","CN6",0.0420775141343289,3
"ADI","0.3-4","CN6",0.0516876554372116,4
"BGN","4-12","CN6",0.142999627502423,3
"AA","4-12","CN6",0.285978702644379,6
"ADI","4-12","CN6",0.0232603214539656,2
"BGN","0.3-12","CN6",0.0410375319844238,2
"AA","0.3-12","CN6",0.075593077835805,5
"ADI","0.3-12","CN6",-0.00208781771040182,0
"BGN","12-22.1","CN6",0.00145265469427602,0
"AA","12-22.1","CN6",0.0227193956238512,2
"ADI","12-22.1","CN6",NA,NA
"BGN","Total","CN7",0.0195400509486505,2
"AA","Total","CN7",0.110700364031578,5
"ADI","Total","CN7",0.00627951591550635,0
"BGN","0.3-4","CN7",0.0062568435092361,0
"AA","0.3-4","CN7",0.00096713059646681,0
"ADI","0.3-4","CN7",0.0107113357562237,0
"BGN","4-12","CN7",0.0380090634706468,4
"AA","4-12","CN7",0.178042535231678,5
"ADI","4-12","CN7",0.05303169492519,4
"BGN","0.3-12","CN7",0.015120410604238,1
"AA","0.3-12","CN7",0.104392147666721,5
"ADI","0.3-12","CN7",0.00782144106761172,0
"BGN","12-22.1","CN7",1.34963628478565e-05,0
"AA","12-22.1","CN7",0.0123633329882038,1
"ADI","12-22.1","CN7",NA,NA
"BGN","Total","CN8",0.0346772217376226,2
"AA","Total","CN8",0.230562839530686,6
"ADI","Total","CN8",0.162733621965905,4
"BGN","0.3-4","CN8",0.000171793570615843,0
"AA","0.3-4","CN8",0.0329406362269884,2
"ADI","0.3-4","CN8",0.0399263761688571,1
"BGN","4-12","CN8",0.127401752426783,5
"AA","4-12","CN8",0.342269722040123,6
"ADI","4-12","CN8",0.045899440628656,3
"BGN","0.3-12","CN8",0.0831794497272291,4
"AA","0.3-12","CN8",0.201953603687995,6
"ADI","0.3-12","CN8",0.1087826777577,5
"BGN","12-22.1","CN8",0.140469091936273,4
"AA","12-22.1","CN8",0.0651101535463946,4
"ADI","12-22.1","CN8",NA,NA
"BGN","Total","CN9",0.0364876722011634,2
"AA","Total","CN9",0.0913496491181348,5
"ADI","Total","CN9",0.112373725484795,5
"BGN","0.3-4","CN9",0.00444679939153572,0
"AA","0.3-4","CN9",0.0717264011585393,4
"ADI","0.3-4","CN9",0.040057648182635,3
"BGN","4-12","CN9",0.0315428734121281,3
"AA","4-12","CN9",0.0943221973476415,5
"ADI","4-12","CN9",0.0291580325579454,2
"BGN","0.3-12","CN9",0.037544674357991,3
"AA","0.3-12","CN9",0.0750805659273941,5
"ADI","0.3-12","CN9",0.056639396505291,4
"BGN","12-22.1","CN9",0.0744685100124905,3
"AA","12-22.1","CN9",0.0943601549262994,4
"ADI","12-22.1","CN9",NA,NA
